Company,Address,TIFDistrict,CompletionDate,ActualCosts,ActualGrant,WorkItems
2155 Hubbard Building Partnership,1428 W. 37th St.,35th/Halsted,05/06/2014,274935.00,137467.50,"steel roof canopy, concrete dock, permanent security items, exterior dock lights, ventilation and HVAC exhaust, exterior dock heat units, demolish and replace garage door, excavation, install water main, backfill and repair concrete, remove and replace control valve, supply and install double detector check valve assembly and install at new water service on south side of basement, install sprinkler main, fire and jockey pump work including all fittings, valves, and controllers, air compressor in boiler room, new sprinkler lines in basement and sprinklers in first floor offices, sprinklers in dock and overhead door areas, architectural, engineering, and surveying services for rear exterior roofed raised concrete and steel loading dock"
"Betty's Day Care Academy, Inc.",5719-25 W. Chicago Ave.,Austin Commercial,05/06/2014,156571.39,116250.00,"balance of complete rehab of 5719-23 W. Chicago Ave. for day care functions: demolition, concrete slab, masonry, tuckpointing, steel lintels and beams, walls, roofing, framing, doors, shelving, cabinets, countertops, insulation, flashing, gutters, downspouts, caulking, windows, ceilings, flooring, plumbing, HVAC, electrical, and lighting"
Jane Addams Resource Corporation ,4222 N. Ravenswood ,Ravenswood,05/06/2014,59326.00,37108.50,"walls, electrical, painting, HVAC, insulation, doors, ceiling, flooring"
Ossie C. Dockery Youth and Adult Center,6733 S. South Chicago Ave.,West Woodlawn,05/08/2014,49422.60,37066.95,"new drop ceilings, flooring, electrical system upgrades and light fixtures, HVAC improvements and ductwork, painting and finishing"
"Rudy's Cyclery, Inc. ",5711 W. Irving Park Rd. ,West Irving Park,05/08/2014,1454.00,1090.50,"plumbing, security camera"
"Asheli, LLC",7851 S. Constance Ave.,Avalon Park/South Shore,05/09/2014,82500.00,41250.00,"office build-out: framing and walls, HVAC, plumbing, electrical, insulation, drywall, carpentry, countertops, tile work, carpet, painting"
Penthouse Hairstyling ,6029 W. Irving Park Rd. ,West Irving Park,05/12/2014,14791.00,10000.00,"concrete slab, masonry, a new storefront, door, and windows. The interior renovations include framing, drywall, electrical, plumbing, new baths, flooring, ceiling, doors, HVAC, gas lines, and hot water heater. "
Sunshine Gospel Ministries,501 E. 61st St.,West Woodlawn,05/12/2014,82519.98,59631.00,"rough plumbing, masonry, carpentry, partial HVAC"
"Western Avenue Storage, LLC",2946 N. Western Ave.,Addison South,05/13/2014,71204.58,50000.00,materials and labor for the installation of174 new storage units including framing for a corridor partition system
"Motiv Personal Training, LLC",2550 W. Addison St.,Western Ave South,05/14/2014,117112.80,50000.00,"demolition, carpentry, masonry labor and materials for ground block wall, electrical, HVAC, plumbing, painting, sprinkler system, bathroom fixtures, suspended ceiling repairs and tile replacement, flooring (vinyl tile and carpet), and roofing"
Shan Food Corporation,5060 N. Sheridan Rd.,Hollywood/ Sheridan,05/14/2014,90000.00,50000.00,"demolition, frame new wall behind counter, frame out office area, erect new wall to increase area of kitchen, FRP panels, erect new wall in grocery area, new countertop, new doors, relocate entrance door, new doorway in kitchen, plumbing, electrical including light fixtures, HVAC, drywall, finish carpentry, new drop ceilings, painting, ceramic tile flooring, walk-in cooler and freezer, signage"
Fortineaux Associates,11622 S. Western Ave.,Western Rock Island,05/15/2014,40677.00,30507.75,"asphalt paving, sidewalks
Doors, siding
HVAC"
